timestamp,retrans_segs,in_segs,out_segs
1776518396.385232586,8840,128499,124735
1776518397.397416961,8840,128550,124782
1776518398.407402635,8840,128578,124809
1776518399.414134044,8840,128657,124895
1776518400.418476840,8840,128688,124928
1776518401.424428990,8840,128711,124951
1776518402.436229640,8840,128727,124968
1776518403.445359771,8840,128747,124988
1776518404.455181854,8840,128761,125001
1776518405.466437308,8840,128775,125015
1776518406.478672772,8840,128788,125028
1776518407.488513692,8840,128815,125055
1776518408.502376391,8840,128833,125072
1776518409.507506760,8840,128862,125099
1776518410.515593700,8840,128884,125120
1776518411.522183483,8840,128901,125137
1776518412.530526195,8840,128926,125162
1776518413.539771585,8840,128946,125181
1776518414.554258636,8840,128954,125190
1776518415.562427467,8840,128970,125206
1776518416.572524917,8840,128985,125221
1776518417.580439289,8840,129011,125244
1776518418.586011870,8840,129029,125261
1776518419.590828917,8840,129045,125278
1776518420.599661321,8841,129053,125287
1776518421.605267688,8842,129074,125307
1776518422.609335925,8843,129095,125326
1776518423.617647209,8844,129113,125343
1776518424.633568486,8845,129127,125357
1776518425.639567416,8845,129146,125375
1776518426.653735267,8846,129227,125456
1776518427.664519807,8846,129249,125478
1776518428.676582283,8846,129391,125615
1776518429.685022798,8846,129437,125665
1776518430.700563778,8847,129477,125703
1776518431.711388062,8847,129492,125719
1776518432.724447322,8847,129514,125741
1776518433.732536835,8847,129553,125781
1776518434.739333864,8847,129580,125806
1776518435.748402874,8847,129602,125828
1776518436.758288932,8847,129634,125860
1776518437.774623612,8847,129654,125880
1776518438.786428128,8848,129691,125920
1776518439.791877425,8848,129710,125941
1776518440.798556626,8848,129732,125963
1776518441.810745398,8848,129748,125979
1776518442.823115145,8848,129773,126001
1776518443.831573044,8848,129792,126019
1776518444.843624641,8848,129806,126033
1776518445.852475042,8848,129823,126050
1776518446.859561748,8850,129841,126066
1776518447.870083959,8850,129864,126086
1776518448.881620982,8850,129882,126103
1776518449.889340476,8850,129898,126119
1776518450.897726021,8850,129912,126133
1776518451.913583071,8850,129927,126148
1776518452.920507487,8850,129950,126170
1776518453.934623110,8850,129969,126189
1776518454.944511249,8850,129984,126205
1776518455.951732264,8850,129999,126221
1776518456.965618799,8850,130017,126240
1776518457.975692405,8850,130048,126270
1776518458.980216175,8850,130132,126360
1776518459.990744029,8850,130161,126386
1776518461.006643249,8850,130200,126425
1776518462.020649068,8850,130223,126447
1776518463.030795264,8850,130245,126469
1776518464.042786194,8850,130266,126490
1776518465.058583530,8850,130285,126509
1776518466.069269083,8850,130303,126525
1776518467.081466107,8850,130321,126544
1776518468.089602708,8850,130347,126573
1776518469.102506448,8850,130364,126589
1776518470.108576121,8850,130381,126607
1776518471.117822854,8850,130402,126629
