timestamp,retrans_segs,in_segs,out_segs
1776516971.724793747,8787,70480,67098
1776516972.727964352,8787,70538,67155
1776516973.730497998,8787,70558,67175
1776516974.733660955,8787,70583,67197
1776516975.736237165,8787,70605,67218
1776516976.738673102,8787,70625,67238
1776516977.741703092,8787,70647,67262
1776516978.744321349,8787,70665,67281
1776516979.747182530,8787,70680,67297
1776516980.750433395,8787,70700,67318
1776516981.753119637,8787,70716,67335
1776516982.756048942,8787,70738,67359
1776516983.758515123,8787,70757,67380
1776516984.761592656,8787,70780,67404
1776516985.764284067,8787,70804,67426
1776516986.766967431,8787,70840,67463
1776516987.769931430,8787,70873,67497
1776516988.772962149,8787,71007,67641
1776516989.776448868,8787,71054,67692
1776516990.780119942,8787,71126,67768
1776516991.783000102,8787,71141,67782
1776516992.785739693,8787,71169,67806
1776516993.789447043,8787,71186,67822
1776516994.792360029,8787,71202,67838
1776516995.795381256,8787,71216,67852
1776516996.798201187,8787,71230,67866
1776516997.800886207,8787,71252,67888
1776516998.803556797,8787,71269,67905
1776516999.806499556,8787,71283,67919
1776517000.809363705,8787,71297,67933
1776517001.812315055,8787,71312,67948
1776517002.815120514,8787,71339,67975
1776517003.817973216,8787,71356,67992
1776517004.820754878,8787,71370,68006
1776517005.823917045,8787,71384,68020
1776517006.827154260,8787,71401,68037
1776517007.830359214,8787,71425,68061
1776517008.833286377,8787,71440,68076
1776517009.836241360,8787,71454,68090
1776517010.839321255,8787,71469,68105
1776517011.842412129,8787,71483,68119
1776517012.845607230,8787,71505,68140
1776517013.849054368,8787,71524,68158
1776517014.852082473,8787,71544,68179
1776517015.855292284,8787,71559,68193
1776517016.858617360,8787,71580,68213
1776517017.861854847,8787,71603,68236
1776517018.865379529,8787,71650,68282
1776517019.868776769,8787,71693,68331
1776517020.871758946,8787,71746,68385
1776517021.874902710,8787,71761,68399
1776517022.878302256,8787,71789,68428
1776517023.881703167,8787,71803,68441
1776517024.884822363,8787,71817,68456
1776517025.887915642,8787,71844,68484
1776517026.891027905,8787,71866,68505
1776517027.894104874,8787,71895,68537
1776517028.897157711,8787,71908,68549
1776517029.900134201,8787,71923,68566
1776517030.903618722,8787,71938,68582
1776517031.906809573,8787,71952,68597
1776517032.910148746,8787,71984,68631
1776517033.913278572,8787,71995,68643
1776517034.916616006,8787,72008,68657
1776517035.919714423,8787,72023,68673
1776517036.922888847,8787,72039,68690
1776517037.926796450,8787,72075,68726
1776517038.930089013,8787,72088,68740
1776517039.933095113,8787,72104,68755
1776517040.936074467,8787,72121,68772
1776517041.939258849,8787,72141,68793
1776517042.942513271,8787,72163,68816
1776517043.946031086,8787,72177,68831
1776517044.949390707,8787,72191,68846
1776517045.952553389,8787,72209,68864
