timestamp,tcp_inuse,tcp_mem_pages
1776518982.063719584,52,0
1776518983.066544758,49,0
1776518984.080628173,49,0
1776518985.089131217,49,0
1776518986.092828718,49,0
1776518987.097711568,49,0
1776518988.104494437,49,0
1776518989.116507626,49,21
1776518990.126496942,49,0
1776518991.135486453,49,0
1776518992.146480899,49,0
1776518993.154469744,49,0
1776518994.162478531,49,0
1776518995.171546183,49,0
1776518996.186499981,49,0
1776518997.195465237,49,63
1776518998.205484883,49,0
1776518999.216530562,50,12
1776519000.227546225,50,0
1776519001.240532422,50,13
1776519002.251234888,50,0
1776519003.265565773,50,0
1776519004.276512782,50,0
1776519005.291556520,50,0
1776519006.303470787,50,97
1776519007.314518593,50,82
1776519008.322548841,50,48
1776519009.337513990,50,0
1776519010.344618916,50,0
1776519011.353453166,50,0
1776519012.370994517,50,0
1776519013.381594765,50,0
1776519014.394521301,50,0
1776519015.408581354,50,0
1776519016.425615161,50,0
1776519017.435641960,50,0
1776519018.447583605,50,0
1776519019.460529215,50,0
1776519020.469253845,50,0
1776519021.484423453,50,0
1776519022.499632137,50,427
1776519023.511469363,50,0
1776519024.522534772,50,0
1776519025.534599429,50,0
1776519026.547634691,50,0
1776519027.561322404,50,0
1776519028.574536766,49,0
1776519029.585527972,51,0
1776519030.598618463,51,0
1776519031.612641849,51,0
1776519032.628796534,51,0
1776519033.641552526,51,0
1776519034.649612111,51,0
1776519035.664607573,49,0
1776519036.675605993,49,0
1776519037.687490160,49,0
1776519038.701540351,51,0
1776519039.714508597,48,335
1776519040.723621779,48,0
1776519041.737784602,48,0
1776519042.750828846,51,0
1776519043.762709235,48,0
1776519044.777559649,48,0
1776519045.790622246,47,0
1776519046.806900855,47,0
1776519047.818537215,47,0
1776519048.832818502,47,0
1776519049.845518929,47,0
1776519050.854545747,47,0
1776519051.872340499,47,0
1776519052.880786380,47,0
1776519053.888559711,47,0
1776519054.900494465,47,0
1776519055.910154943,47,0
1776519056.917498278,47,0
