timestamp,retrans_segs,in_segs,out_segs
1776518982.063716942,8873,152879,148694
1776518983.072305022,8873,152965,148775
1776518984.085413348,8873,153014,148824
1776518985.094015284,8873,153063,148872
1776518986.098645992,8873,153101,148910
1776518987.103780016,8873,153119,148929
1776518988.109572668,8873,153146,148956
1776518989.122431739,8873,153168,148976
1776518990.131577328,8873,153183,148991
1776518991.146402346,8873,153198,149006
1776518992.158450795,8873,153213,149021
1776518993.169677616,8873,153243,149049
1776518994.179490434,8873,153259,149064
1776518995.190460065,8873,153286,149089
1776518996.199487408,8873,153300,149103
1776518997.215466150,8873,153319,149123
1776518998.223495577,8873,153347,149150
1776518999.236543027,8873,153421,149231
1776519000.246483427,8873,153449,149261
1776519001.262516433,8873,153476,149287
1776519002.272482523,8873,153492,149304
1776519003.282460775,8873,153520,149331
1776519004.293435346,8873,153536,149346
1776519005.303481283,8873,153551,149361
1776519006.317485038,8873,153566,149376
1776519007.330487175,8873,153583,149393
1776519008.345482443,8873,153611,149420
1776519009.357509032,8873,153628,149436
1776519010.366538200,8873,153643,149451
1776519011.380837788,8873,153658,149466
1776519012.390602675,8873,153674,149482
1776519013.398526537,8873,153703,149510
1776519014.409477098,8873,153727,149533
1776519015.421155759,8873,153744,149550
1776519016.431265651,8873,153763,149569
1776519017.439368582,8873,153780,149585
1776519018.452520897,8873,153806,149611
1776519019.464489843,8873,153822,149626
1776519020.473439979,8873,153838,149642
1776519021.492532502,8873,153853,149658
1776519022.503500744,8873,153876,149683
1776519023.517039825,8873,153898,149703
1776519024.528310076,8873,153914,149718
1776519025.538482662,8873,153933,149736
1776519026.549554323,8873,153965,149769
1776519027.559967796,8873,153990,149795
1776519028.575504719,8873,154083,149885
1776519029.588715873,8873,154151,149957
1776519030.602535017,8873,154194,150001
1776519031.612641880,8873,154213,150020
1776519032.632419004,8873,154237,150045
1776519033.647577195,8873,154256,150063
1776519034.667339344,8873,154274,150080
1776519035.678469897,8873,154289,150095
1776519036.691552284,8873,154304,150110
1776519037.703623269,8873,154335,150140
1776519038.712515532,8873,154361,150165
1776519039.725528705,8873,154396,150199
1776519040.737531871,8873,154412,150214
1776519041.751404673,8873,154433,150234
1776519042.760572151,8873,154498,150292
1776519043.774550896,8873,154571,150352
1776519044.782068366,8873,154595,150375
1776519045.795666114,8873,154621,150400
1776519046.804560322,8873,154638,150416
1776519047.815083637,8873,154665,150444
1776519048.824407379,8873,154684,150462
1776519049.835659811,8873,154700,150477
1776519050.845634467,8873,154755,150529
1776519051.855548783,8873,154771,150543
1776519052.867635188,8873,154794,150565
1776519053.878594917,8873,154813,150583
1776519054.885586664,8873,154829,150598
1776519055.899545697,8873,154844,150613
1776519056.908542380,8873,154858,150628
