timestamp,tcp_inuse,tcp_mem_pages
1776520189.215333624,46,34
1776520190.218073435,46,34
1776520191.221235802,46,34
1776520192.224058875,46,0
1776520193.226825924,46,0
1776520194.229739599,46,8
1776520195.232844927,46,0
1776520196.235529239,46,0
1776520197.238374215,46,310
1776520198.241255122,46,18
1776520199.243978171,47,0
1776520200.246811101,47,0
1776520201.249731688,47,209
1776520202.252498885,47,216
1776520203.255289504,47,216
1776520204.257997411,47,216
1776520205.260607635,47,216
1776520206.263009160,47,216
1776520207.265426742,47,216
1776520208.268114169,47,216
1776520209.271090606,47,216
1776520210.274069926,47,216
1776520211.276395222,47,216
1776520212.279052550,47,352
1776520213.281921436,47,0
1776520214.284514547,47,0
1776520215.287360243,47,0
1776520216.290261514,47,0
1776520217.293253029,47,0
1776520218.296159196,47,36
1776520219.299045888,47,233
1776520220.301527204,47,186
1776520221.304409863,47,0
1776520222.307299990,47,8
1776520223.310516871,47,0
1776520224.313181256,47,0
1776520225.316194416,47,0
1776520226.318739189,47,83
1776520227.321286566,47,0
1776520228.324289529,47,0
1776520229.327344601,49,0
1776520230.330210184,49,0
1776520231.332690954,49,0
1776520232.335247067,49,0
1776520233.338112181,49,0
1776520234.341250479,49,0
1776520235.343774709,47,0
1776520236.346303071,47,0
1776520237.349025410,47,0
1776520238.351965638,47,403
1776520239.354814238,48,116
1776520240.357306068,47,0
1776520241.360199046,47,0
1776520242.362813547,47,0
1776520243.365496129,47,0
1776520244.368340124,47,28
1776520245.371983334,47,279
1776520246.374855147,46,205
1776520247.377767839,46,0
1776520248.381131953,46,0
1776520249.383752601,46,0
1776520250.386736625,46,370
1776520251.389571842,46,520
1776520252.392158679,46,383
1776520253.395002967,46,138
1776520254.397762684,46,0
1776520255.400377991,46,324
1776520256.403002788,46,0
1776520257.405940321,46,0
1776520258.408875662,46,0
1776520259.411365076,47,0
1776520260.414004176,47,23
1776520261.416998413,47,0
1776520262.419689352,47,0
1776520263.422701095,47,0
