timestamp,retrans_segs,in_segs,out_segs
1776520189.215161353,8915,207265,208334
1776520190.218375766,8915,207331,208403
1776520191.221234882,8915,207383,208454
1776520192.224000598,8915,207438,208506
1776520193.227018146,8915,207489,208560
1776520194.230452899,8915,207530,208600
1776520195.233134302,8915,207570,208640
1776520196.235983172,8915,207610,208680
1776520197.238819800,8915,207654,208724
1776520198.241444518,8915,207702,208775
1776520199.244133828,8915,207806,208889
1776520200.247439507,8915,207866,208949
1776520201.250344203,8915,207922,209005
1776520202.252736503,8915,207967,209050
1776520203.255568755,8916,208020,209105
1776520204.258458516,8917,208053,209137
1776520205.261274297,8917,208097,209181
1776520206.264091963,8917,208131,209214
1776520207.267337503,8917,208168,209251
1776520208.269986050,8917,208215,209300
1776520209.272616732,8917,208258,209341
1776520210.275055626,8917,208291,209375
1776520211.277797543,8917,208329,209415
1776520212.280548605,8917,208380,209465
1776520213.283900422,8917,208473,209556
1776520214.286480520,8917,208525,209604
1776520215.289598029,8917,208566,209643
1776520216.292239275,8917,208614,209689
1776520217.294866571,8917,208656,209728
1776520218.297375084,8917,208715,209788
1776520219.300307309,8917,208761,209834
1776520220.303069392,8917,208808,209881
1776520221.305555663,8917,208838,209909
1776520222.308475711,8917,208886,209958
1776520223.311525670,8917,208932,210000
1776520224.314031104,8917,208969,210035
1776520225.316918796,8917,209002,210070
1776520226.320138109,8917,209102,210156
1776520227.322586093,8917,209137,210192
1776520228.325206881,8917,209224,210283
1776520229.327946007,8917,209334,210405
1776520230.330293761,8917,209389,210461
1776520231.333412960,8917,209436,210507
1776520232.336336804,8917,209492,210559
1776520233.339363418,8917,209541,210607
1776520234.341803181,8917,209585,210648
1776520235.344557911,8917,209633,210697
1776520236.347364193,8917,209676,210740
1776520237.349846324,8917,209715,210781
1776520238.352294619,8917,209775,210841
1776520239.354811863,8917,209814,210879
1776520240.357582482,8917,209862,210922
1776520241.360297453,8917,209893,210952
1776520242.363252818,8917,209926,210984
1776520243.366195993,8917,209970,211031
1776520244.369225722,8917,210003,211064
1776520245.372079971,8917,210034,211096
1776520246.375154359,8917,210090,211150
1776520247.377775694,8917,210130,211190
1776520248.380623732,8917,210181,211242
1776520249.383417488,8917,210222,211282
1776520250.386666411,8917,210279,211344
1776520251.389773637,8917,210329,211394
1776520252.392842128,8917,210371,211436
1776520253.395971344,8917,210444,211509
1776520254.399044909,8917,210485,211551
1776520255.402317391,8917,210532,211598
1776520256.404954689,8917,210565,211631
1776520257.407854713,8917,210605,211672
1776520258.410509378,8917,210644,211714
1776520259.413399322,8917,210745,211825
1776520260.415851117,8917,210796,211875
1776520261.418364396,8917,210838,211919
1776520262.421419752,8917,210876,211958
1776520263.424388528,8917,210927,212011
