timestamp,retrans_segs,in_segs,out_segs
1776521166.179852420,8955,248318,248817
1776521167.184536738,8955,248381,248875
1776521168.189897352,8955,248438,248931
1776521169.196170638,8955,248490,248981
1776521170.210448692,8955,248541,249032
1776521171.227463514,8955,248574,249063
1776521172.236612745,8955,248616,249105
1776521173.244463017,8955,248664,249154
1776521174.254094631,8955,248706,249194
1776521175.269463159,8955,248752,249239
1776521176.280066210,8955,248804,249292
1776521177.284060055,8955,248840,249325
1776521178.290640447,8955,248878,249363
1776521179.297210983,8955,248916,249400
1776521180.303663483,8955,248962,249446
1776521181.316446427,8955,249002,249485
1776521182.327470571,8955,249050,249533
1776521183.341429936,8955,249096,249578
1776521184.352317197,8955,249130,249610
1776521185.364701409,8955,249176,249654
1776521186.376431304,8955,249242,249721
1776521187.387475887,8955,249281,249760
1776521188.398465965,8955,249369,249848
1776521189.413655232,8955,249503,249984
1776521190.423428431,8955,249565,250045
1776521191.436612367,8955,249614,250094
1776521192.447495060,8955,249663,250144
1776521193.457480469,8955,249703,250183
1776521194.468539262,8955,249754,250231
1776521195.485465773,8955,249805,250283
1776521196.494792599,8955,249844,250320
1776521197.506418251,8955,249884,250357
1776521198.516514906,8955,249934,250408
1776521199.528193460,8955,249990,250462
1776521200.538461675,8955,250034,250504
1776521201.547725106,8955,250070,250539
1776521202.561701381,8955,250120,250589
1776521203.572618496,8955,250177,250645
1776521204.586338482,8955,250219,250686
1776521205.599530179,8955,250254,250720
1776521206.608643556,8955,250299,250762
1776521207.623573143,8955,250357,250817
1776521208.636488649,8955,250409,250866
1776521209.648556182,8955,250444,250900
1776521210.663642704,8955,250494,250948
1776521211.676386909,8955,250552,251003
1776521212.688536270,8955,250614,251065
1776521213.698918481,8955,250666,251114
1776521214.709552048,8955,250703,251149
1776521215.721603387,8955,250751,251194
1776521216.731646589,8955,250805,251244
1776521217.745517112,8955,250858,251293
1776521218.757611605,8955,250925,251365
1776521219.768651179,8955,251093,251515
1776521220.780817607,8955,251168,251593
1776521221.793639621,8955,251220,251642
1776521222.804490066,8955,251268,251688
1776521223.818876073,8955,251308,251728
1776521224.833563195,8955,251355,251772
1776521225.846640124,8955,251403,251819
1776521226.861562100,8955,251442,251856
1776521227.874362389,8955,251485,251898
1776521228.887632526,8955,251528,251938
1776521229.895720150,8955,251583,251990
1776521230.910680482,8955,251621,252029
1776521231.924585715,8955,251655,252063
1776521232.937553670,8955,251712,252119
1776521233.955535917,8955,251765,252168
1776521234.969687928,8955,251803,252205
1776521235.980548533,8955,251834,252237
1776521236.993766200,8956,251877,252281
1776521238.004555661,8956,251937,252341
1776521239.017707310,8956,251987,252387
1776521240.030510717,8956,252017,252417
1776521241.041748174,8956,252062,252459
