timestamp,cpu,user,nice,system,idle,iowait,irq,softirq,steal
1776521075.092418640,cpu0,943655,1174,21490,1129984,2842,0,6141,0
1776521075.092418640,cpu1,1304880,827,21534,776053,1963,0,5630,0
1776521075.092418640,cpu2,1077708,908,36886,990991,2531,0,6663,0
1776521075.092418640,cpu3,1153670,727,38209,913972,2256,0,7431,0
1776521075.092418640,cpu4,1140674,776,16417,952132,2227,0,3807,0
1776521075.092418640,cpu5,1123485,930,19772,965190,2178,0,4807,0
1776521075.092418640,cpu6,1139708,808,16801,952917,2293,0,3313,0
1776521075.092418640,cpu7,1125137,706,17391,967433,2229,0,3502,0
1776521075.092418640,cpu8,1329367,798,28678,749432,1731,0,6687,0
1776521075.092418640,cpu9,944092,637,33592,1126381,2563,0,8050,0
1776521075.092418640,cpu10,1088527,908,26648,990772,3267,0,5504,0
1776521075.092418640,cpu11,1190049,839,31708,880170,2729,0,8988,0
1776521075.092418640,cpu12,1155346,879,18593,934368,3130,0,3409,0
1776521075.092418640,cpu13,1126147,529,16660,966402,2967,0,3377,0
1776521075.092418640,cpu14,1282789,738,19566,805428,2342,0,5423,0
1776521075.092418640,cpu15,992114,750,20386,1094498,3035,0,5063,0
1776521075.092418640,cpu16,1975632,416,14280,125112,298,0,2179,0
1776521075.092418640,cpu17,1976278,295,13297,126158,293,0,1584,0
1776521075.092418640,cpu18,1974344,281,14813,126283,280,0,1998,0
1776521075.092418640,cpu19,1972025,302,16959,126221,252,0,2276,0
1776521076.097556260,cpu0,943684,1174,21562,1129985,2842,0,6141,0
1776521076.097556260,cpu1,1304959,827,21555,776053,1963,0,5630,0
1776521076.097556260,cpu2,1077807,908,36887,990991,2531,0,6663,0
1776521076.097556260,cpu3,1153769,727,38210,913973,2256,0,7431,0
1776521076.097556260,cpu4,1140773,776,16418,952133,2227,0,3807,0
1776521076.097556260,cpu5,1123584,930,19775,965191,2178,0,4807,0
1776521076.097556260,cpu6,1139807,808,16803,952917,2293,0,3313,0
1776521076.097556260,cpu7,1125237,706,17391,967434,2229,0,3502,0
1776521076.097556260,cpu8,1329467,798,28678,749432,1731,0,6687,0
1776521076.097556260,cpu9,944192,637,33593,1126381,2563,0,8050,0
1776521076.097556260,cpu10,1088626,908,26650,990772,3267,0,5504,0
1776521076.097556260,cpu11,1190148,839,31709,880170,2729,0,8989,0
1776521076.097556260,cpu12,1155419,880,18617,934371,3131,0,3409,0
1776521076.097556260,cpu13,1126244,529,16662,966403,2967,0,3377,0
1776521076.097556260,cpu14,1282871,738,19584,805429,2342,0,5423,0
1776521076.097556260,cpu15,992193,750,20408,1094498,3035,0,5063,0
1776521076.097556260,cpu16,1975731,416,14282,125113,298,0,2179,0
1776521076.097556260,cpu17,1976379,295,13297,126158,293,0,1584,0
1776521076.097556260,cpu18,1974443,281,14814,126283,280,0,1998,0
1776521076.097556260,cpu19,1972123,302,16961,126221,252,0,2276,0
1776521077.106515428,cpu0,943744,1174,21602,1129985,2842,0,6141,0
1776521077.106515428,cpu1,1305061,827,21555,776053,1963,0,5630,0
1776521077.106515428,cpu2,1077909,908,36887,990991,2531,0,6663,0
1776521077.106515428,cpu3,1153870,727,38210,913973,2256,0,7431,0
1776521077.106515428,cpu4,1140875,776,16418,952133,2227,0,3807,0
1776521077.106515428,cpu5,1123685,930,19775,965191,2178,0,4807,0
1776521077.106515428,cpu6,1139892,808,16819,952917,2293,0,3313,0
1776521077.106515428,cpu7,1125336,706,17393,967434,2229,0,3502,0
1776521077.106515428,cpu8,1329566,798,28680,749432,1731,0,6687,0
1776521077.106515428,cpu9,944292,637,33593,1126381,2563,0,8050,0
1776521077.106515428,cpu10,1088726,908,26651,990772,3267,0,5504,0
1776521077.106515428,cpu11,1190249,839,31709,880170,2729,0,8989,0
1776521077.106515428,cpu12,1155489,880,18648,934371,3131,0,3409,0
1776521077.106515428,cpu13,1126324,529,16683,966403,2967,0,3377,0
1776521077.106515428,cpu14,1282939,738,19617,805429,2342,0,5423,0
