timestamp,tcp_inuse,tcp_mem_pages
1776518787.610308714,50,431
1776518788.617414012,50,431
1776518789.628431085,52,431
1776518790.634691887,52,595
1776518791.647455475,52,1684
1776518792.658390328,52,1096
1776518793.670739429,52,719
1776518794.680500498,50,90
1776518795.689771670,50,148
1776518796.694759928,50,0
1776518797.703429996,49,0
1776518798.713536614,49,0
1776518799.724286565,49,0
1776518800.730827848,49,0
1776518801.735643796,49,0
1776518802.740092495,49,0
1776518803.743666504,49,0
1776518804.748591230,49,0
1776518805.751755222,49,0
1776518806.759902890,49,0
1776518807.763568135,49,0
1776518808.769613443,49,0
1776518809.773626619,49,0
1776518810.783484805,49,0
1776518811.795112589,49,0
1776518812.804513178,49,0
1776518813.811522151,49,0
1776518814.824546868,49,0
1776518815.832346354,49,0
1776518816.841649866,49,0
1776518817.847546285,49,0
1776518818.857561413,50,0
1776518819.863523038,50,0
1776518820.867907306,50,935
1776518821.873904225,50,851
1776518822.879907800,50,885
1776518823.884706227,50,0
1776518824.892275419,50,0
1776518825.903751977,50,0
1776518826.913727132,50,0
1776518827.925716367,50,0
1776518828.933577646,50,0
1776518829.947528312,50,0
1776518830.960677807,50,0
1776518831.975591200,50,0
1776518832.988661633,50,0
1776518834.004482351,50,0
1776518835.017613860,50,0
1776518836.028345436,50,0
1776518837.032182086,50,0
1776518838.039548452,50,0
1776518839.046013925,50,0
1776518840.061386287,50,0
1776518841.073578730,50,0
1776518842.084612665,50,0
1776518843.100516921,50,0
1776518844.110606771,50,0
1776518845.123634285,50,0
1776518846.139602092,50,0
1776518847.146821165,50,74
1776518848.165669984,50,0
1776518849.182387541,52,0
1776518850.193398313,52,0
1776518851.203073826,52,0
1776518852.209158277,52,338
1776518853.227322658,52,0
1776518854.240585895,52,0
1776518855.251549475,50,0
1776518856.266909883,50,0
1776518857.278530228,50,0
1776518858.290666577,49,0
1776518859.300627995,49,0
1776518860.315589049,49,0
1776518861.323601773,49,0
1776518862.333595475,49,0
