timestamp,retrans_segs,in_segs,out_segs
1776518787.610371958,8862,143300,139373
1776518788.618570598,8862,143431,139503
1776518789.632367040,8863,143512,139591
1776518790.640016280,8864,143588,139663
1776518791.649728143,8864,143622,139699
1776518792.662424021,8864,143673,139747
1776518793.672995228,8864,143705,139778
1776518794.688416459,8864,143743,139818
1776518795.696992526,8864,143788,139862
1776518796.700150679,8864,143827,139900
1776518797.706701626,8864,143887,139960
1776518798.717207128,8864,143929,140001
1776518799.733272803,8864,143973,140044
1776518800.738120660,8864,144012,140082
1776518801.753306304,8864,144141,140195
1776518802.759008931,8864,144197,140252
1776518803.766072207,8864,144244,140298
1776518804.772689778,8864,144277,140332
1776518805.784470219,8864,144324,140377
1776518806.796501490,8864,144365,140416
1776518807.811620120,8864,144420,140467
1776518808.816752587,8864,144466,140510
1776518809.820723769,8864,144510,140555
1776518810.827678863,8864,144570,140607
1776518811.837440282,8864,144599,140636
1776518812.848441090,8864,144646,140679
1776518813.860177775,8864,144692,140722
1776518814.867303954,8864,144739,140767
1776518815.876449225,8864,144771,140800
1776518816.890524627,8864,144804,140833
1776518817.895808878,8864,144852,140878
1776518818.909082206,8864,144924,140957
1776518819.920500903,8864,144998,141035
1776518820.929434426,8864,145059,141092
1776518821.934629954,8864,145092,141125
1776518822.939288401,8864,145136,141167
1776518823.948438843,8864,145181,141211
1776518824.958512983,8864,145228,141256
1776518825.971462135,8864,145271,141297
1776518826.985473936,8864,145310,141335
1776518827.996464644,8864,145354,141376
1776518829.005845393,8864,145389,141410
1776518830.021561223,8864,145430,141449
1776518831.033580319,8864,145475,141492
1776518832.039573219,8864,145518,141535
1776518833.050531363,8864,145580,141594
1776518834.060472023,8864,145614,141627
1776518835.074595447,8864,145653,141664
1776518836.087372661,8864,145700,141709
1776518837.096590177,8864,145746,141755
1776518838.107225757,8864,145804,141809
1776518839.120539461,8864,145843,141850
1776518840.128282718,8864,145877,141882
1776518841.132902300,8864,145921,141925
1776518842.137477052,8864,145975,141976
1776518843.153550050,8864,146023,142021
1776518844.165346690,8864,146063,142060
1776518845.176565456,8864,146104,142099
1776518846.186596263,8864,146206,142181
1776518847.193238618,8864,146269,142243
1776518848.202530548,8864,146360,142331
1776518849.216359048,8864,146450,142426
1776518850.226876630,8864,146509,142482
1776518851.237595580,8864,146554,142527
1776518852.246692364,8864,146604,142576
1776518853.256688079,8864,146656,142625
1776518854.268587314,8864,146693,142660
1776518855.282534425,8864,146734,142700
1776518856.294614835,8864,146786,142752
1776518857.301050449,8864,146829,142791
1776518858.310542705,8865,146898,142856
1776518859.316647990,8865,146939,142896
1776518860.329513180,8865,146980,142936
1776518861.341717042,8865,147028,142983
1776518862.356576676,8865,147135,143086
