timestamp,retrans_segs,in_segs,out_segs
1776520774.926922397,8932,231001,231812
1776520775.935413916,8932,231054,231863
1776520776.944446151,8932,231092,231901
1776520777.952877949,8932,231158,231964
1776520778.960458481,8932,231214,232018
1776520779.971449536,8932,231251,232054
1776520780.979217556,8932,231287,232087
1776520781.989469629,8932,231324,232122
1776520783.001496573,8932,231381,232176
1776520784.018517230,8932,231425,232219
1776520785.029093042,8932,231481,232276
1776520786.038459093,8932,231524,232317
1776520787.051556712,8932,231558,232349
1776520788.063793197,8932,231610,232402
1776520789.070701194,8932,231676,232467
1776520790.087478014,8932,231718,232508
1776520791.095178862,8932,231762,232551
1776520792.107508824,8932,231793,232581
1776520793.120520292,8932,231851,232636
1776520794.131517254,8932,231903,232687
1776520795.150479898,8933,231951,232737
1776520796.164490947,8933,231994,232781
1776520797.173479315,8933,232058,232843
1776520798.184553245,8933,232110,232893
1776520799.196308826,8933,232208,232998
1776520800.206454216,8933,232268,233056
1776520801.217527951,8933,232312,233099
1776520802.230491505,8933,232356,233139
1776520803.242484246,8933,232414,233195
1776520804.253368097,8933,232462,233241
1776520805.266513018,8933,232499,233277
1776520806.279511061,8933,232538,233314
1776520807.292492738,8933,232587,233362
1776520808.306485469,8933,232640,233416
1776520809.316508016,8933,232682,233455
1776520810.325513858,8933,232721,233493
1776520811.336517274,8934,232765,233535
1776520812.349536853,8934,232814,233587
1776520813.363554023,8934,232873,233647
1776520814.373480912,8934,232910,233682
1776520815.389498619,8934,232950,233721
1776520816.402490056,8934,233000,233768
1776520817.411485766,8935,233052,233817
1776520818.421093497,8935,233100,233862
1776520819.431484955,8935,233140,233900
1776520820.441186524,8935,233187,233945
1776520821.456896221,8935,233240,233998
1776520822.464240039,8935,233289,234045
1776520823.478514898,8935,233332,234090
1776520824.492586071,8935,233382,234138
1776520825.499492115,8935,233444,234195
1776520826.510549712,8935,233513,234264
1776520827.518482726,8935,233561,234310
1776520828.528485219,8935,233658,234406
1776520829.544465073,8935,233758,234510
1776520830.554488522,8935,233825,234573
1776520831.564497771,8935,233861,234610
1776520832.585473369,8935,233913,234661
1776520833.595465175,8935,233960,234707
1776520834.607192968,8935,234008,234754
1776520835.619742668,8935,234051,234793
1776520836.631546833,8935,234090,234833
1776520837.648618636,8935,234136,234875
1776520838.662468595,8935,234187,234927
1776520839.675477955,8935,234235,234975
1776520840.687482349,8935,234274,235014
1776520841.698462273,8935,234313,235051
1776520842.711536181,8935,234372,235106
1776520843.722493879,8935,234426,235160
1776520844.737529587,8935,234460,235191
1776520845.745524648,8935,234501,235231
1776520846.760484488,8935,234542,235273
1776520847.776528663,8935,234600,235332
1776520848.785700360,8935,234651,235381
1776520849.799491828,8935,234700,235427
