timestamp,cpu,user,nice,system,idle,iowait,irq,softirq,steal
1776520774.926511295,cpu0,920739,1155,20406,1124342,2819,0,5895,0
1776520774.926511295,cpu1,1281530,805,20256,770981,1949,0,5365,0
1776520774.926511295,cpu2,1053936,892,36192,985540,2509,0,6631,0
1776520774.926511295,cpu3,1129736,713,37129,909124,2250,0,7304,0
1776520774.926511295,cpu4,1119160,759,14078,946573,2199,0,3285,0
1776520774.926511295,cpu5,1102219,913,17197,959505,2158,0,4372,0
1776520774.926511295,cpu6,1116195,784,16052,947350,2271,0,3207,0
1776520774.926511295,cpu7,1101995,689,16497,961573,2193,0,3443,0
1776520774.926511295,cpu8,1306124,765,26890,744871,1710,0,6338,0
1776520774.926511295,cpu9,920238,621,32218,1121842,2553,0,7839,0
1776520774.926511295,cpu10,1063670,899,25953,986458,3246,0,5407,0
1776520774.926511295,cpu11,1165445,828,30987,875685,2724,0,8827,0
1776520774.926511295,cpu12,1130400,864,18175,929841,3105,0,3352,0
1776520774.926511295,cpu13,1101662,518,16407,961171,2946,0,3371,0
1776520774.926511295,cpu14,1260009,719,18222,799767,2326,0,5250,0
1776520774.926511295,cpu15,967373,744,19083,1090650,3033,0,4953,0
1776520774.926511295,cpu16,1953721,405,12230,119327,283,0,1965,0
1776520774.926511295,cpu17,1954616,283,11065,120358,282,0,1320,0
1776520774.926511295,cpu18,1952865,265,12414,120472,267,0,1731,0
1776520774.926511295,cpu19,1953343,282,12001,120412,241,0,1771,0
1776520775.938397251,cpu0,920838,1155,20408,1124342,2819,0,5895,0
1776520775.938397251,cpu1,1281630,805,20256,770981,1949,0,5365,0
1776520775.938397251,cpu2,1053943,892,36284,985543,2509,0,6631,0
1776520775.938397251,cpu3,1129830,713,37137,909124,2250,0,7304,0
1776520775.938397251,cpu4,1119174,759,14162,946575,2199,0,3285,0
1776520775.938397251,cpu5,1102310,913,17206,959505,2158,0,4372,0
1776520775.938397251,cpu6,1116294,784,16054,947350,2271,0,3207,0
1776520775.938397251,cpu7,1102096,689,16497,961573,2193,0,3443,0
1776520775.938397251,cpu8,1306220,765,26895,744871,1710,0,6338,0
1776520775.938397251,cpu9,920338,621,32220,1121842,2553,0,7839,0
1776520775.938397251,cpu10,1063747,901,25975,986459,3246,0,5407,0
1776520775.938397251,cpu11,1165546,828,30988,875685,2724,0,8828,0
1776520775.938397251,cpu12,1130501,864,18175,929841,3105,0,3352,0
1776520775.938397251,cpu13,1101763,518,16407,961171,2946,0,3371,0
1776520775.938397251,cpu14,1260108,719,18223,799767,2326,0,5250,0
1776520775.938397251,cpu15,967474,744,19084,1090650,3033,0,4953,0
1776520775.938397251,cpu16,1953822,405,12230,119327,283,0,1965,0
1776520775.938397251,cpu17,1954716,283,11066,120358,282,0,1320,0
1776520775.938397251,cpu18,1952966,265,12415,120472,267,0,1731,0
1776520775.938397251,cpu19,1953444,282,12001,120412,241,0,1771,0
1776520776.945487232,cpu0,920939,1155,20408,1124342,2819,0,5895,0
1776520776.945487232,cpu1,1281731,805,20256,770981,1949,0,5365,0
1776520776.945487232,cpu2,1053944,893,36380,985545,2509,0,6631,0
1776520776.945487232,cpu3,1129845,713,37222,909124,2250,0,7304,0
1776520776.945487232,cpu4,1119260,759,14176,946576,2199,0,3285,0
1776520776.945487232,cpu5,1102410,913,17206,959505,2158,0,4372,0
1776520776.945487232,cpu6,1116394,784,16055,947350,2271,0,3207,0
1776520776.945487232,cpu7,1102196,689,16498,961573,2193,0,3443,0
1776520776.945487232,cpu8,1306320,765,26896,744871,1710,0,6338,0
1776520776.945487232,cpu9,920439,621,32220,1121842,2553,0,7839,0
1776520776.945487232,cpu10,1063847,901,25975,986459,3246,0,5407,0
1776520776.945487232,cpu11,1165647,828,30988,875685,2724,0,8828,0
1776520776.945487232,cpu12,1130601,864,18176,929841,3105,0,3352,0
1776520776.945487232,cpu13,1101864,518,16407,961171,2946,0,3371,0
1776520776.945487232,cpu14,1260208,719,18224,799767,2326,0,5250,0
1776520776.945487232,cpu15,967574,744,19084,1090650,3033,0,4953,0
1776520776.945487232,cpu16,1953923,405,12230,119327,283,0,1965,0
1776520776.945487232,cpu17,1954816,283,11066,120358,282,0,1320,0
1776520776.945487232,cpu18,1953066,265,12415,120472,267,0,1731,0
1776520776.945487232,cpu19,1953544,282,12002,120412,241,0,1771,0
1776520777.950207679,cpu0,921038,1155,20408,1124343,2819,0,5895,0
1776520777.950207679,cpu1,1281793,806,20281,770993,1949,0,5366,0
1776520777.950207679,cpu2,1054034,893,36391,985545,2509,0,6631,0
1776520777.950207679,cpu3,1129919,713,37248,909125,2250,0,7304,0
1776520777.950207679,cpu4,1119361,759,14176,946576,2199,0,3285,0
1776520777.950207679,cpu5,1102511,913,17206,959505,2158,0,4372,0
1776520777.950207679,cpu6,1116475,785,16067,947354,2272,0,3208,0
1776520777.950207679,cpu7,1102275,689,16504,961587,2193,0,3443,0
1776520777.950207679,cpu8,1306413,766,26898,744876,1710,0,6338,0
1776520777.950207679,cpu9,920539,621,32220,1121842,2553,0,7839,0
1776520777.950207679,cpu10,1063946,901,25976,986459,3246,0,5407,0
1776520777.950207679,cpu11,1165747,828,30988,875685,2724,0,8828,0
1776520777.950207679,cpu12,1130693,865,18181,929843,3106,0,3352,0
1776520777.950207679,cpu13,1101964,518,16408,961171,2946,0,3371,0
1776520777.950207679,cpu14,1260308,719,18225,799767,2326,0,5250,0
1776520777.950207679,cpu15,967675,744,19084,1090650,3033,0,4953,0
1776520777.950207679,cpu16,1953984,405,12264,119327,283,0,1971,0
1776520777.950207679,cpu17,1954908,283,11074,120358,282,0,1321,0
1776520777.950207679,cpu18,1953165,265,12416,120472,267,0,1732,0
1776520777.950207679,cpu19,1953625,282,12019,120412,241,0,1772,0
1776520778.954669926,cpu0,921134,1156,20409,1124346,2819,0,5895,0
1776520778.954669926,cpu1,1281846,808,20317,770997,1949,0,5372,0
1776520778.954669926,cpu2,1054134,893,36391,985545,2509,0,6631,0
1776520778.954669926,cpu3,1130019,713,37248,909125,2250,0,7304,0
1776520778.954669926,cpu4,1119421,759,14211,946576,2199,0,3290,0
1776520778.954669926,cpu5,1102611,913,17206,959505,2158,0,4372,0
1776520778.954669926,cpu6,1116575,785,16067,947354,2272,0,3208,0
1776520778.954669926,cpu7,1102375,689,16504,961587,2193,0,3443,0
1776520778.954669926,cpu8,1306511,766,26899,744876,1710,0,6338,0
1776520778.954669926,cpu9,920639,621,32220,1121842,2553,0,7839,0
1776520778.954669926,cpu10,1064047,901,25977,986459,3246,0,5407,0
1776520778.954669926,cpu11,1165847,828,30988,875685,2724,0,8828,0
1776520778.954669926,cpu12,1130793,865,18181,929843,3106,0,3352,0
1776520778.954669926,cpu13,1102064,518,16408,961171,2946,0,3371,0
1776520778.954669926,cpu14,1260408,719,18225,799767,2326,0,5250,0
