timestamp,tcp_inuse,tcp_mem_pages
1776520085.876153274,46,0
1776520086.879344263,46,0
1776520087.882345662,46,0
1776520088.885247765,46,71
1776520089.887827577,46,0
1776520090.890737123,46,0
1776520091.893678255,46,231
1776520092.896338556,46,0
1776520093.899053246,46,0
1776520094.902318023,46,0
1776520095.905295426,46,373
1776520096.908162307,46,0
1776520097.910733286,46,0
1776520098.913400796,46,0
1776520099.916436781,46,0
1776520100.919139014,46,0
1776520101.921772961,46,0
1776520102.924637292,46,0
1776520103.927211008,46,0
1776520104.930329903,46,0
1776520105.933417674,47,0
1776520106.936605095,47,0
1776520107.939743239,47,0
1776520108.943387792,49,0
1776520109.946677791,49,213
1776520110.950437606,49,364
1776520111.954032070,49,920
1776520112.957716028,49,128
1776520113.960715045,49,682
1776520114.964269964,47,0
1776520115.967708800,47,1913
1776520116.970684773,47,409
1776520117.974033630,47,917
1776520118.977771905,47,2105
1776520119.981685823,47,948
1776520120.985225329,47,2225
1776520121.988542568,47,535
1776520122.992234086,47,170
1776520123.995622888,47,1146
1776520124.999270143,49,556
1776520126.003061208,46,837
1776520127.007068460,46,1161
1776520128.010993154,46,1787
1776520129.014908924,46,167
1776520130.018604430,46,1233
1776520131.022479524,46,440
1776520132.026051189,46,1025
1776520133.030438253,46,623
1776520134.034009436,46,909
1776520135.037749346,46,842
1776520136.041773058,46,1967
1776520137.045418509,46,630
1776520138.049489356,46,2081
1776520139.052892314,47,525
1776520140.056095267,47,0
1776520141.060334311,47,1950
1776520142.063439713,47,2060
1776520143.067516025,47,2528
1776520144.070998535,47,974
1776520145.074545090,47,1153
1776520146.078387905,47,612
1776520147.082038224,47,908
1776520148.085908678,47,365
1776520149.089811713,47,408
1776520150.093916737,47,0
1776520151.097462632,47,0
1776520152.101526720,47,0
1776520153.105102396,47,2661
1776520154.108339244,47,492
1776520155.112085540,47,94
1776520156.115878784,47,94
1776520157.119921704,47,363
1776520158.123869333,47,1637
1776520159.127004655,47,675
1776520160.130788338,47,2623
