timestamp,retrans_segs,in_segs,out_segs
1776517352.935671345,8810,84309,80976
1776517353.941691783,8810,84379,81042
1776517354.952441753,8810,84431,81092
1776517355.962061576,8810,84495,81151
1776517356.965901682,8810,84543,81194
1776517357.969736127,8810,84594,81249
1776517358.973139030,8810,84634,81286
1776517359.978767520,8810,84667,81319
1776517360.983666100,8810,84698,81350
1776517361.986856386,8810,84738,81386
1776517362.990462973,8810,84781,81430
1776517363.993759286,8810,84828,81477
1776517364.997145600,8810,84881,81526
1776517366.000630063,8810,84943,81586
1776517367.004433769,8810,84985,81624
1776517368.009710848,8810,85047,81685
1776517369.013500338,8810,85099,81735
1776517370.017789042,8810,85145,81779
1776517371.021866435,8810,85186,81817
1776517372.025695054,8810,85223,81852
1776517373.029773162,8810,85262,81890
1776517374.033504341,8810,85311,81936
1776517375.037509330,8810,85364,81986
1776517376.043894495,8810,85410,82030
1776517377.049730130,8810,85457,82075
1776517378.053714157,8810,85506,82123
1776517379.057376579,8810,85601,82226
1776517380.061234060,8810,85645,82269
1776517381.065869816,8810,85701,82321
1776517382.070369378,8810,85735,82353
1776517383.074050873,8810,85791,82407
1776517384.078667694,8810,85831,82446
1776517385.082601541,8810,85878,82491
1776517386.086325405,8810,85925,82536
1776517387.090144245,8810,85972,82581
1776517388.093888021,8810,86025,82636
1776517389.098631300,8810,86067,82676
1776517390.104642633,8810,86112,82720
1776517391.108626244,8810,86152,82759
1776517392.113611379,8810,86192,82798
1776517393.117496967,8810,86253,82857
1776517394.122110029,8810,86295,82896
1776517395.126101056,8810,86340,82940
1776517396.129849975,8810,86388,82986
1776517397.133863291,8810,86435,83032
1776517398.138224473,8810,86486,83083
1776517399.141760663,8810,86529,83126
1776517400.145600882,8810,86578,83172
1776517401.149743280,8810,86617,83210
1776517402.154253781,8810,86656,83247
1776517403.158299391,8810,86697,83285
1776517404.162934446,8810,86731,83317
1776517405.166571028,8810,86774,83357
1776517406.170260313,8812,86831,83408
1776517407.173992359,8812,86890,83464
1776517408.177748712,8812,86960,83537
1776517409.181796948,8812,87088,83671
1776517410.193648828,8812,87148,83730
1776517411.209300373,8812,87221,83801
1776517412.213023559,8812,87258,83836
1776517413.216846356,8812,87340,83920
1776517414.221256929,8812,87370,83947
1776517415.225661400,8812,87408,83984
1776517416.229330929,8812,87452,84026
1776517417.239537122,8812,87501,84073
1776517418.253574247,8812,87551,84125
1776517419.265528513,8812,87592,84167
1776517420.282568238,8812,87625,84197
1776517421.293515872,8812,87676,84246
1776517422.304237447,8812,87726,84298
1776517423.314560066,8812,87777,84350
1776517424.328487320,8812,87811,84382
1776517425.337558223,8812,87857,84427
1776517426.346485465,8812,87915,84483
1776517427.359527270,8812,87962,84527
