timestamp,tcp_inuse,tcp_mem_pages
1776517352.935849714,52,663
1776517353.943649122,52,663
1776517354.956499885,50,663
1776517355.969086765,50,663
1776517356.971783298,50,663
1776517357.974553456,50,663
1776517358.981288838,50,663
1776517359.988823813,50,663
1776517360.993623672,50,846
1776517362.000453630,50,846
1776517363.006238293,50,846
1776517364.010351497,50,846
1776517365.018492195,50,575
1776517366.022257705,50,575
1776517367.027783735,50,575
1776517368.031468997,50,830
1776517369.034826264,50,830
1776517370.038799669,50,830
1776517371.045880407,50,830
1776517372.051294070,50,830
1776517373.055285889,50,830
1776517374.058680654,50,830
1776517375.065824431,50,830
1776517376.072761962,50,830
1776517377.076164324,50,829
1776517378.082787679,50,1045
1776517379.086327813,51,1045
1776517380.089734427,51,1045
1776517381.093748399,51,775
1776517382.098344379,51,775
1776517383.102329131,51,775
1776517384.105597337,51,775
1776517385.109034569,51,751
1776517386.112473679,51,751
1776517387.115916059,51,751
1776517388.119670074,51,751
1776517389.124133141,51,751
1776517390.131753831,51,751
1776517391.135162168,51,751
1776517392.138672233,51,751
1776517393.142297496,51,757
1776517394.148302749,51,726
1776517395.153572856,51,726
1776517396.159325854,51,726
1776517397.165145965,51,726
1776517398.168577311,51,726
1776517399.171941413,51,726
1776517400.176777144,51,726
1776517401.182746321,51,726
1776517402.186290204,51,726
1776517403.189627680,51,467
1776517404.193037039,51,459
1776517405.196679208,51,459
1776517406.200112441,51,164
1776517407.203502196,51,164
1776517408.207785558,51,166
1776517409.211195776,53,166
1776517410.218295696,53,425
1776517411.227336025,52,624
1776517412.230891553,52,624
1776517413.234316935,52,624
1776517414.238299128,52,624
1776517415.243537230,50,624
1776517416.248264665,50,624
1776517417.260474873,50,624
1776517418.273057070,50,624
1776517419.286490598,50,624
1776517420.297750201,50,624
1776517421.315285230,50,624
1776517422.324485514,50,368
1776517423.332515853,50,368
1776517424.341475980,50,368
1776517425.350279339,50,368
1776517426.359553302,50,368
1776517427.369273674,50,368
