timestamp,retrans_segs,in_segs,out_segs
1776520981.692114112,8941,241169,241753
1776520982.701427458,8941,241235,241814
1776520983.712403374,8941,241262,241842
1776520984.723443592,8941,241287,241864
1776520985.731110826,8941,241307,241883
1776520986.738500738,8941,241322,241897
1776520987.750615161,8941,241351,241924
1776520988.760384778,8941,241369,241941
1776520989.771468615,8941,241385,241957
1776520990.782131295,8941,241400,241973
1776520991.791269662,8941,241415,241989
1776520992.794763893,8941,241440,242015
1776520993.800887976,8941,241459,242034
1776520994.808526476,8941,241489,242064
1776520995.821599449,8941,241503,242079
1776520996.836564191,8941,241524,242100
1776520997.848573939,8941,241549,242124
1776520998.862546992,8941,241567,242141
1776520999.873492631,8941,241582,242155
1776521000.886518024,8941,241596,242169
1776521001.900528087,8941,241610,242183
1776521002.916511625,8941,241633,242205
1776521003.927526043,8941,241679,242247
1776521004.936840232,8941,241700,242266
1776521005.946317225,8941,241733,242300
1776521006.951465310,8941,241820,242368
1776521007.960445480,8941,241889,242436
1776521008.969995331,8941,242026,242578
1776521009.974243872,8941,242042,242595
1776521010.983426234,8941,242079,242633
1776521011.993492536,8941,242097,242651
1776521013.003754403,8941,242122,242677
1776521014.015669348,8941,242145,242699
1776521015.024515998,8941,242162,242717
1776521016.037520497,8941,242175,242731
1776521017.055524549,8942,242190,242746
1776521018.067535179,8942,242209,242766
1776521019.081505667,8942,242235,242791
1776521020.087643242,8942,242250,242807
1776521021.104552905,8942,242265,242823
1776521022.113711716,8942,242280,242839
1776521023.118788039,8942,242306,242865
1776521024.134491099,8942,242326,242885
1776521025.142296392,8942,242343,242903
1776521026.150509408,8942,242360,242921
1776521027.162545411,8942,242378,242940
1776521028.171567292,8942,242406,242968
1776521029.184497052,8942,242425,242987
1776521030.199351132,8942,242455,243018
1776521031.209357591,8942,242470,243034
1776521032.218514888,8942,242484,243049
1776521033.229757100,8942,242508,243073
1776521034.244531592,8942,242527,243092
1776521035.256528184,8942,242542,243108
1776521036.269517266,8942,242557,243124
1776521037.279486636,8942,242573,243141
1776521038.287819850,8942,242675,243243
1776521039.296559796,8942,242762,243339
1776521040.307501054,8942,242792,243371
1776521041.315179177,8942,242816,243394
1776521042.323575804,8942,242832,243411
1776521043.336388433,8942,242859,243439
1776521044.347487624,8942,242878,243457
1776521045.358492379,8942,242893,243473
1776521046.379852022,8942,242908,243489
1776521047.388781269,8942,242924,243506
1776521048.402537931,8942,242951,243534
1776521049.412533325,8942,242975,243556
1776521050.428541949,8942,242990,243571
1776521051.441036068,8942,243009,243589
1776521052.455790310,8942,243027,243605
1776521053.470495883,8942,243060,243636
1776521054.480190311,8942,243079,243654
1776521055.486509847,8942,243101,243675
1776521056.492572118,8942,243119,243692
