timestamp,tcp_inuse,tcp_mem_pages
1776518017.445789248,47,0
1776518018.455417158,47,0
1776518019.469426258,47,0
1776518020.475504690,47,0
1776518021.482625938,47,0
1776518022.491431602,47,0
1776518023.501411554,47,0
1776518024.513535700,47,0
1776518025.522020587,47,87
1776518026.531692866,47,0
1776518027.543472093,47,0
1776518028.552998834,47,0
1776518029.565463632,47,0
1776518030.573139158,47,0
1776518031.577673146,47,0
1776518032.582609725,47,0
1776518033.589523220,47,0
1776518034.595695858,47,0
1776518035.600020676,47,0
1776518036.606589946,47,0
1776518037.612687152,47,0
1776518038.616245958,47,0
1776518039.621741486,48,0
1776518040.625165509,48,89
1776518041.632782665,48,0
1776518042.639901694,48,0
1776518043.655835447,48,0
1776518044.659712615,48,0
1776518045.663098553,48,0
1776518046.673515680,48,0
1776518047.684237989,48,0
1776518048.687793515,48,0
1776518049.693574033,48,0
1776518050.699602757,48,0
1776518051.712552206,48,0
1776518052.723885129,48,0
1776518053.729806931,48,0
1776518054.740550225,48,0
1776518055.749543515,48,0
1776518056.761762122,48,0
1776518057.773787486,48,0
1776518058.781394078,48,0
1776518059.787573107,48,0
1776518060.801591509,48,0
1776518061.811392805,48,0
1776518062.829611154,48,0
1776518063.841561326,48,0
1776518064.852335938,48,0
1776518065.863601411,48,0
1776518066.876066799,49,0
1776518067.882488142,49,0
1776518068.886901608,51,0
1776518069.893866160,51,0
1776518070.898596753,51,0
1776518071.908601151,51,0
1776518072.912371752,51,0
1776518073.917598691,53,0
1776518074.926690097,48,0
1776518075.933600570,48,0
1776518076.945509899,48,0
1776518077.950899139,48,0
1776518078.955651793,48,0
1776518079.963601387,48,0
1776518080.972698824,48,0
1776518081.982907324,48,0
1776518082.992535669,48,0
1776518084.003205216,48,0
1776518085.007902158,48,0
1776518086.020554036,48,0
1776518087.030643651,48,0
1776518088.034914629,48,0
1776518089.041528182,48,0
1776518090.051702526,48,0
1776518091.065959454,48,0
1776518092.070153695,48,0
