timestamp,retrans_segs,in_segs,out_segs
1776519994.790642654,8911,199897,201054
1776519995.795802873,8912,199959,201110
1776519996.808694290,8912,200010,201163
1776519997.817419439,8912,200075,201224
1776519998.828631320,8912,200132,201278
1776519999.835683232,8912,200169,201313
1776520000.846464099,8912,200205,201347
1776520001.855496469,8912,200244,201387
1776520002.865450832,8912,200306,201449
1776520003.879398762,8912,200357,201498
1776520004.900438570,8912,200401,201540
1776520005.910510779,8912,200445,201582
1776520006.923268316,8912,200497,201632
1776520007.928485258,8912,200556,201686
1776520008.948104540,8912,200615,201747
1776520009.961510956,8912,200663,201794
1776520010.971527793,8912,200721,201850
1776520011.980492654,8912,200765,201893
1776520012.998326637,8912,200815,201939
1776520014.012538964,8912,200860,201983
1776520015.024487058,8912,200909,202031
1776520016.037505814,8912,200957,202077
1776520017.056479969,8912,200995,202113
1776520018.066522499,8912,201041,202156
1776520019.078494243,8912,201149,202268
1776520020.086255117,8912,201202,202321
1776520021.099490309,8912,201266,202385
1776520022.110536115,8912,201302,202420
1776520023.123551226,8912,201354,202468
1776520024.137582648,8913,201408,202517
1776520025.146490630,8913,201460,202568
1776520026.158795270,8913,201497,202605
1776520027.174531637,8913,201537,202645
1776520028.193535533,8913,201602,202704
1776520029.215330686,8913,201645,202743
1776520030.226209897,8913,201678,202775
1776520031.243524246,8913,201717,202814
1776520032.255515871,8913,201771,202868
1776520033.270540165,8913,201830,202926
1776520034.285468306,8913,201868,202965
1776520035.294473623,8913,201910,203006
1776520036.311529261,8913,201972,203064
1776520037.321480131,8913,202021,203112
1776520038.335554925,8913,202072,203164
1776520039.346541805,8913,202107,203199
1776520040.355513856,8913,202154,203246
1776520041.364499414,8913,202212,203303
1776520042.378479195,8914,202256,203345
1776520043.391577908,8914,202307,203394
1776520044.408489429,8914,202355,203441
1776520045.422584440,8914,202423,203506
1776520046.433496340,8914,202483,203566
1776520047.448275365,8914,202525,203605
1776520048.458498305,8914,202619,203699
1776520049.473486311,8914,202733,203828
1776520050.489484185,8914,202807,203901
1776520051.502579095,8914,202857,203948
1776520052.514308525,8914,202910,203999
1776520053.525570826,8914,202976,204061
1776520054.535477090,8914,203015,204099
1776520055.547502677,8914,203060,204141
1776520056.563495737,8914,203104,204185
1776520057.579409318,8914,203168,204247
1776520058.591476307,8914,203214,204291
1776520059.600698462,8914,203250,204327
1776520060.613513581,8914,203296,204371
1776520061.624485771,8914,203345,204419
1776520062.634159588,8914,203404,204477
1776520063.645525749,8914,203440,204511
1776520064.656505695,8914,203484,204556
1776520065.670533797,8914,203547,204617
1776520066.679385392,8914,203598,204665
1776520067.693190899,8914,203667,204729
1776520068.709750717,8914,203716,204777
1776520069.721482763,8914,203788,204851
