timestamp,tcp_inuse,tcp_mem_pages
1776520580.393754162,47,0
1776520581.401742135,47,0
1776520582.420440999,47,0
1776520583.428493174,47,0
1776520584.439434142,47,0
1776520585.450405666,47,0
1776520586.463398528,47,0
1776520587.484500502,47,0
1776520588.492416785,47,0
1776520589.502459571,49,0
1776520590.513024573,49,0
1776520591.523302477,49,0
1776520592.526414294,49,0
1776520593.530198592,49,0
1776520594.534701300,49,0
1776520595.539098759,47,0
1776520596.543792977,47,0
1776520597.547202861,47,0
1776520598.553333540,47,0
1776520599.561574743,47,0
1776520600.568509849,47,0
1776520601.571859073,47,0
1776520602.577790768,47,0
1776520603.581772397,47,0
1776520604.592483244,47,0
1776520605.603276001,47,0
1776520606.619518244,47,0
1776520607.626272214,49,0
1776520608.631492464,46,0
1776520609.643517767,46,0
1776520610.651734543,46,0
1776520611.661517365,46,0
1776520612.670494663,46,0
1776520613.683508374,49,0
1776520614.692483772,46,0
1776520615.700836967,46,0
1776520616.713484370,46,0
1776520617.723518016,46,0
1776520618.734572798,47,0
1776520619.742403727,47,0
1776520620.748537943,47,0
1776520621.764594385,47,0
1776520622.774580752,47,276
1776520623.782577125,47,0
1776520624.795677223,47,0
1776520625.809437357,47,0
1776520626.813306042,47,0
1776520627.825560974,47,0
1776520628.839530260,47,0
1776520629.853862344,47,0
1776520630.864687288,47,0
1776520631.877611423,46,0
1776520632.883365150,46,0
1776520633.891499842,46,0
1776520634.900646914,46,358
1776520635.912555966,46,0
1776520636.919823255,46,0
1776520637.932527580,46,0
1776520638.943575579,46,0
1776520639.951645370,46,0
1776520640.963518292,46,0
1776520641.975554184,46,0
1776520642.985578659,46,0
1776520644.002826916,46,0
1776520645.010527211,46,0
1776520646.021574564,50,0
1776520647.028880814,50,0
1776520648.034713639,50,115
1776520649.045586179,51,0
1776520650.054592336,51,137
1776520651.069669130,51,0
1776520652.081437489,51,0
1776520653.089505612,51,0
1776520654.097550613,51,0
1776520655.106743197,49,0
