timestamp,cpu_idx,processed,dropped,time_squeeze
1776520580.393545488,0,0x0241bc2c,0x00000000,0x00000000
1776520580.393545488,1,0x020ded34,0x00000000,0x00000000
1776520580.393545488,2,0x025a0918,0x00000000,0x00000000
1776520580.393545488,3,0x02d03819,0x00000000,0x00000000
1776520580.393545488,4,0x01d410a4,0x00000000,0x00000000
1776520580.393545488,5,0x02366884,0x00000000,0x00000000
1776520580.393545488,6,0x01abc66d,0x00000000,0x00000000
1776520580.393545488,7,0x01ac233a,0x00000000,0x00000000
1776520580.393545488,8,0x03f6fa39,0x00000000,0x00000000
1776520580.393545488,9,0x04b013f0,0x00000000,0x00000000
1776520580.393545488,10,0x02cf2368,0x00000000,0x00000000
1776520580.393545488,11,0x02bb4f97,0x00000000,0x00000000
1776520580.393545488,12,0x01cff9ef,0x00000000,0x00000000
1776520580.393545488,13,0x0180b087,0x00000000,0x00000000
1776520580.393545488,14,0x02fcef05,0x00000000,0x00000000
1776520580.393545488,15,0x028753ec,0x00000000,0x00000000
1776520580.393545488,16,0x009a1dd4,0x00000000,0x00000000
1776520580.393545488,17,0x005b1c0d,0x00000000,0x00000000
1776520580.393545488,18,0x006fab9b,0x00000000,0x00000000
1776520580.393545488,19,0x00853ff1,0x00000000,0x00000000
1776520581.586427018,0,0x0241bc32,0x00000000,0x00000000
1776520581.586427018,1,0x020ded34,0x00000000,0x00000000
1776520581.586427018,2,0x025a093e,0x00000000,0x00000000
1776520581.586427018,3,0x02d0381a,0x00000000,0x00000000
1776520581.586427018,4,0x01d410ae,0x00000000,0x00000000
1776520581.586427018,5,0x02366888,0x00000000,0x00000000
1776520581.586427018,6,0x01abc67c,0x00000000,0x00000000
1776520581.586427018,7,0x01ac233a,0x00000000,0x00000000
1776520581.586427018,8,0x03f6fa53,0x00000000,0x00000000
1776520581.586427018,9,0x04b013f4,0x00000000,0x00000000
1776520581.586427018,10,0x02cf2378,0x00000000,0x00000000
1776520581.586427018,11,0x02bb5013,0x00000000,0x00000000
1776520581.586427018,12,0x01cffa2c,0x00000000,0x00000000
1776520581.586427018,13,0x0180b0e7,0x00000000,0x00000000
1776520581.586427018,14,0x02fcef09,0x00000000,0x00000000
1776520581.586427018,15,0x028753ec,0x00000000,0x00000000
1776520581.586427018,16,0x009a1dd8,0x00000000,0x00000000
1776520581.586427018,17,0x005b1c13,0x00000000,0x00000000
1776520581.586427018,18,0x006fab9b,0x00000000,0x00000000
1776520581.586427018,19,0x00853ff4,0x00000000,0x00000000
1776520582.855566022,0,0x02428361,0x00000000,0x00000000
1776520582.855566022,1,0x020df248,0x00000000,0x00000000
