timestamp,retrans_segs,in_segs,out_segs
1776519075.462049833,8873,155369,151126
1776519076.469472279,8873,155419,151174
1776519077.482988061,8873,155465,151220
1776519078.491555169,8873,155528,151278
1776519079.503420078,8873,155567,151317
1776519080.517243753,8873,155607,151356
1776519081.526680686,8873,155642,151390
1776519082.539452014,8873,155696,151443
1776519083.549464350,8873,155750,151495
1776519084.562426395,8873,155789,151534
1776519085.573831823,8873,155824,151567
1776519086.584485844,8873,155877,151620
1776519087.597541883,8873,155933,151676
1776519088.602342730,8873,156062,151805
1776519089.609268624,8873,156144,151890
1776519090.615819249,8873,156204,151948
1776519091.623549685,8873,156250,151994
1776519092.636296963,8873,156287,152027
1776519093.641773059,8873,156332,152069
1776519094.648799308,8873,156376,152111
1776519095.654772624,8873,156427,152162
1776519096.658821189,8873,156474,152208
1776519097.663142231,8873,156526,152260
1776519098.668583509,8873,156577,152309
1776519099.679681235,8873,156629,152360
1776519100.686535141,8873,156662,152390
1776519101.696804239,8873,156703,152430
1776519102.710397364,8873,156756,152480
1776519103.716568780,8873,156892,152604
1776519104.729374782,8873,156943,152652
1776519105.738701459,8873,156976,152683
1776519106.749580180,8873,157017,152725
1776519107.760875653,8873,157065,152771
1776519108.772545374,8873,157115,152817
1776519109.782309284,8873,157155,152855
1776519110.791610003,8873,157184,152883
1776519111.803637558,8873,157223,152923
1776519112.816648707,8873,157276,152973
1776519113.824570885,8873,157328,153021
1776519114.835395590,8873,157374,153067
1776519115.841624927,8873,157409,153103
1776519116.853489764,8873,157451,153145
1776519117.860583352,8873,157503,153195
1776519118.877504518,8873,157581,153280
1776519119.886692054,8874,157651,153354
1776519120.896852840,8875,157716,153417
1776519121.907961738,8875,157767,153464
1776519122.924561571,8875,157823,153516
1776519123.934222341,8875,157870,153561
1776519124.944551800,8875,157903,153594
1776519125.953534263,8875,157940,153633
1776519126.967553981,8875,157984,153674
1776519127.979502508,8875,158044,153730
1776519128.986529072,8875,158096,153781
1776519130.004494432,8875,158131,153819
1776519131.017683707,8875,158184,153865
1776519132.029495424,8875,158229,153912
1776519133.040699144,8875,158287,153967
1776519134.048503297,8875,158330,154007
1776519135.055566841,8875,158372,154048
1776519136.068521590,8875,158415,154090
1776519137.079558780,8875,158452,154131
1776519138.092216639,8875,158515,154192
1776519139.106364030,8875,158552,154226
1776519140.117104680,8875,158587,154262
1776519141.131024439,8875,158622,154298
1776519142.141514761,8875,158665,154338
1776519143.153670558,8875,158729,154398
1776519144.162675299,8875,158765,154431
1776519145.167990402,8875,158803,154467
1776519146.181546365,8875,158860,154524
1776519147.191520284,8875,158920,154583
1776519148.200520864,8875,158998,154653
1776519149.212315182,8875,159142,154800
1776519150.222553187,8875,159196,154855
