timestamp,retrans_segs,in_segs,out_segs
1776520683.834653689,8932,228625,229417
1776520684.840384039,8932,228677,229467
1776520685.853418050,8932,228699,229488
1776520686.861421966,8932,228720,229506
1776520687.877413701,8932,228749,229533
1776520688.888422948,8932,228771,229554
1776520689.898727635,8932,228787,229570
1776520690.910417005,8932,228803,229586
1776520691.924534450,8932,228821,229604
1776520692.933525204,8932,228849,229631
1776520693.943068451,8932,228868,229650
1776520694.957491333,8932,228887,229670
1776520695.968447910,8932,228905,229689
1776520696.974467377,8932,228932,229715
1776520697.989517165,8932,228957,229738
1776520698.997500597,8932,228977,229757
1776520700.008514363,8932,228994,229774
1776520701.017560398,8932,229013,229793
1776520702.027586585,8932,229026,229806
1776520703.039607628,8932,229054,229832
1776520704.047690840,8932,229076,229853
1776520705.063593909,8932,229095,229872
1776520706.074627178,8932,229125,229901
1776520707.086562801,8932,229159,229937
1776520708.095154314,8932,229183,229961
1776520709.103622878,8932,229320,230106
1776520710.117834107,8932,229334,230121
1776520711.131472782,8932,229376,230163
1776520712.142662656,8932,229391,230179
1776520713.152604594,8932,229415,230203
1776520714.162338878,8932,229434,230222
1776520715.176520163,8932,229454,230243
1776520716.184339724,8932,229469,230259
1776520717.195569346,8932,229484,230275
1776520718.208589434,8932,229509,230300
1776520719.214636539,8932,229527,230318
1776520720.227472418,8932,229544,230336
1776520721.239583689,8932,229559,230352
1776520722.250665343,8932,229577,230371
1776520723.260327931,8932,229604,230399
1776520724.272526698,8932,229622,230416
1776520725.280452255,8932,229636,230431
1776520726.295580296,8932,229653,230449
1776520727.310533860,8932,229690,230485
1776520728.323637066,8932,229760,230554
1776520729.334446177,8932,229783,230575
1776520730.348494881,8932,229800,230591
1776520731.358507886,8932,229823,230613
1776520732.376504341,8932,229839,230628
1776520733.390189583,8932,229873,230659
1776520734.398693786,8932,229900,230689
1776520735.413512469,8932,229935,230724
1776520736.423541229,8932,229960,230750
1776520737.435505207,8932,229984,230772
1776520738.446577112,8932,230010,230797
1776520739.457547258,8932,230082,230882
1776520740.469799644,8932,230119,230921
1776520741.482465324,8932,230141,230940
1776520742.496522730,8932,230162,230960
1776520743.507481556,8932,230184,230981
1776520744.513494238,8932,230200,230996
1776520745.527514845,8932,230217,231013
1776520746.537513293,8932,230232,231028
1776520747.550495175,8932,230254,231050
1776520748.561848855,8932,230275,231071
1776520749.569221691,8932,230291,231087
1776520750.578514951,8932,230309,231106
1776520751.589763507,8932,230324,231122
1776520752.603496362,8932,230349,231149
1776520753.612330882,8932,230373,231172
1776520754.628520194,8932,230389,231188
1776520755.640515238,8932,230404,231204
1776520756.655342481,8932,230433,231234
1776520757.668548926,8932,230459,231260
1776520758.682467129,8932,230478,231279
