timestamp,tcp_inuse,tcp_mem_pages
1776520683.836048012,49,0
1776520684.845376933,49,0
1776520685.855429134,49,0
1776520686.864461328,49,0
1776520687.876444440,49,0
1776520688.887473996,49,197
1776520689.900481225,49,1251
1776520690.908428437,49,537
1776520691.924534487,49,0
1776520692.937472244,49,0
1776520693.945408105,49,0
1776520694.956467038,49,0
1776520695.966501503,49,0
1776520696.976420988,49,0
1776520697.987435478,49,332
1776520699.001482546,49,22
1776520700.014408548,49,0
1776520701.024462128,49,0
1776520702.034513717,49,0
1776520703.040997023,49,0
1776520704.055579877,49,856
1776520705.068483274,49,76
1776520706.081500300,49,821
1776520707.090215914,49,535
1776520708.105527815,49,97
1776520709.114555338,51,277
1776520710.126540698,51,0
1776520711.141479163,51,0
1776520712.151493795,51,0
1776520713.162595397,51,0
1776520714.171834424,51,0
1776520715.183495725,49,0
1776520716.195516270,49,0
1776520717.208452940,49,0
1776520718.220462572,49,0
1776520719.234466127,49,0
1776520720.244471814,49,0
1776520721.256522425,49,0
1776520722.271524022,49,0
1776520723.279550036,49,0
1776520724.289875757,49,0
1776520725.299493561,49,0
1776520726.311469037,49,0
1776520727.319513532,49,0
1776520728.329526138,48,0
1776520729.342169021,48,0
1776520730.352489773,48,0
1776520731.365834472,48,0
1776520732.374505932,48,0
1776520733.388101229,48,0
1776520734.404462901,51,0
1776520735.417462638,48,0
1776520736.428522541,47,291
1776520737.438266063,47,0
1776520738.448560270,47,0
1776520739.458584926,48,0
1776520740.473473825,48,0
1776520741.483497457,48,0
1776520742.493492742,48,0
1776520743.504478599,48,0
1776520744.512187001,48,0
1776520745.526517765,48,0
1776520746.537647815,48,0
1776520747.548653612,48,386
1776520748.559559957,48,943
1776520749.568487697,48,0
1776520750.580506650,48,0
1776520751.591521081,48,0
1776520752.600959540,48,0
1776520753.609605314,48,0
1776520754.621553891,48,0
1776520755.640438346,48,0
1776520756.650328890,48,0
1776520757.659484133,48,0
1776520758.670474731,48,0
