timestamp,cpu,user,nice,system,idle,iowait,irq,softirq,steal
1776518489.767705505,cpu0,780340,904,12083,1049966,2500,0,2246,0
1776518489.767705505,cpu1,1133763,562,9483,705496,1645,0,1649,0
1776518489.767705505,cpu2,928670,643,10408,914515,2240,0,1095,0
1776518489.767705505,cpu3,995123,479,9388,849671,2058,0,1164,0
1776518489.767705505,cpu4,975526,508,6227,873185,1946,0,547,0
1776518489.767705505,cpu5,953762,721,6690,894226,1982,0,595,0
1776518489.767705505,cpu6,974890,479,6695,873230,1928,0,595,0
1776518489.767705505,cpu7,955317,471,6634,892948,1959,0,690,0
1776518489.767705505,cpu8,1154201,591,16334,683541,1528,0,2240,0
1776518489.767705505,cpu9,759460,505,20232,1071464,2451,0,2778,0
1776518489.767705505,cpu10,917095,727,15098,919635,3051,0,1740,0
1776518489.767705505,cpu11,1003376,681,15942,829740,2575,0,3976,0
1776518489.767705505,cpu12,979130,643,11104,862454,2860,0,1361,0
1776518489.767705505,cpu13,942480,386,8765,902238,2865,0,916,0
1776518489.767705505,cpu14,1112368,517,8568,733431,2100,0,1143,0
1776518489.767705505,cpu15,818404,580,9831,1024534,2854,0,1226,0
1776518489.767705505,cpu16,1814185,174,5059,39978,62,0,509,0
1776518489.767705505,cpu17,1816528,43,2943,40123,61,0,253,0
1776518489.767705505,cpu18,1812952,40,6165,40007,60,0,758,0
1776518489.767705505,cpu19,1815914,50,3653,39918,52,0,404,0
1776518490.775479812,cpu0,780440,904,12083,1049966,2500,0,2246,0
1776518490.775479812,cpu1,1133863,562,9484,705496,1645,0,1649,0
1776518490.775479812,cpu2,928764,643,10415,914516,2240,0,1095,0
1776518490.775479812,cpu3,995132,479,9478,849672,2058,0,1164,0
1776518490.775479812,cpu4,975568,508,6285,873185,1946,0,547,0
1776518490.775479812,cpu5,953823,721,6728,894228,1982,0,595,0
1776518490.775479812,cpu6,974990,479,6695,873231,1928,0,595,0
1776518490.775479812,cpu7,955418,471,6634,892948,1959,0,690,0
1776518490.775479812,cpu8,1154300,591,16336,683541,1528,0,2240,0
1776518490.775479812,cpu9,759560,505,20232,1071464,2451,0,2778,0
1776518490.775479812,cpu10,917192,727,15102,919635,3051,0,1740,0
1776518490.775479812,cpu11,1003476,681,15942,829740,2575,0,3976,0
1776518490.775479812,cpu12,979229,643,11105,862454,2860,0,1361,0
1776518490.775479812,cpu13,942571,386,8776,902239,2865,0,916,0
1776518490.775479812,cpu14,1112466,517,8570,733431,2100,0,1143,0
1776518490.775479812,cpu15,818504,580,9831,1024534,2854,0,1226,0
1776518490.775479812,cpu16,1814286,174,5059,39978,62,0,509,0
1776518490.775479812,cpu17,1816629,43,2943,40123,61,0,253,0
1776518490.775479812,cpu18,1813053,40,6165,40007,60,0,758,0
1776518490.775479812,cpu19,1816014,50,3654,39918,52,0,404,0
1776518491.784526434,cpu0,780540,904,12083,1049967,2500,0,2246,0
1776518491.784526434,cpu1,1133964,562,9484,705496,1645,0,1649,0
1776518491.784526434,cpu2,928852,643,10424,914520,2240,0,1095,0
1776518491.784526434,cpu3,995200,479,9512,849672,2058,0,1164,0
1776518491.784526434,cpu4,975668,509,6286,873185,1946,0,547,0
1776518491.784526434,cpu5,953923,721,6729,894228,1982,0,595,0
1776518491.784526434,cpu6,975087,479,6699,873231,1928,0,595,0
1776518491.784526434,cpu7,955519,471,6634,892948,1959,0,690,0
1776518491.784526434,cpu8,1154400,591,16337,683541,1528,0,2240,0
1776518491.784526434,cpu9,759662,505,20232,1071464,2451,0,2778,0
1776518491.784526434,cpu10,917292,727,15103,919636,3051,0,1741,0
1776518491.784526434,cpu11,1003576,681,15943,829740,2575,0,3976,0
1776518491.784526434,cpu12,979330,643,11106,862454,2860,0,1361,0
1776518491.784526434,cpu13,942672,386,8776,902239,2865,0,916,0
1776518491.784526434,cpu14,1112505,517,8628,733437,2100,0,1143,0
1776518491.784526434,cpu15,818553,581,9878,1024540,2854,0,1226,0
1776518491.784526434,cpu16,1814372,175,5073,39979,62,0,509,0
1776518491.784526434,cpu17,1816724,43,2950,40123,61,0,253,0
1776518491.784526434,cpu18,1813151,40,6168,40007,60,0,758,0
1776518491.784526434,cpu19,1816089,50,3680,39918,52,0,404,0
1776518492.796417918,cpu0,780639,904,12085,1049967,2500,0,2246,0
1776518492.796417918,cpu1,1134064,562,9485,705496,1645,0,1649,0
1776518492.796417918,cpu2,928947,643,10425,914524,2240,0,1095,0
1776518492.796417918,cpu3,995301,479,9512,849672,2058,0,1164,0
1776518492.796417918,cpu4,975768,509,6287,873185,1946,0,547,0
1776518492.796417918,cpu5,954023,721,6729,894228,1982,0,595,0
1776518492.796417918,cpu6,975180,479,6700,873238,1928,0,595,0
1776518492.796417918,cpu7,955602,471,6643,892952,1959,0,695,0
1776518492.796417918,cpu8,1154499,591,16339,683541,1528,0,2240,0
1776518492.796417918,cpu9,759762,505,20233,1071464,2451,0,2778,0
1776518492.796417918,cpu10,917392,727,15103,919636,3051,0,1741,0
1776518492.796417918,cpu11,1003676,681,15943,829740,2575,0,3977,0
1776518492.796417918,cpu12,979403,643,11131,862454,2860,0,1364,0
1776518492.796417918,cpu13,942706,386,8831,902239,2865,0,927,0
1776518492.796417918,cpu14,1112595,517,8639,733437,2100,0,1143,0
1776518492.796417918,cpu15,818594,581,9937,1024540,2854,0,1226,0
1776518492.796417918,cpu16,1814472,175,5073,39979,62,0,509,0
1776518492.796417918,cpu17,1816824,43,2950,40123,61,0,253,0
1776518492.796417918,cpu18,1813251,40,6168,40007,60,0,758,0
1776518492.796417918,cpu19,1816189,50,3680,39918,52,0,404,0
1776518493.801624750,cpu0,780740,904,12085,1049967,2500,0,2246,0
1776518493.801624750,cpu1,1134164,562,9485,705496,1645,0,1649,0
1776518493.801624750,cpu2,929047,643,10426,914524,2240,0,1095,0
1776518493.801624750,cpu3,995401,480,9512,849672,2058,0,1164,0
1776518493.801624750,cpu4,975869,509,6287,873185,1946,0,547,0
1776518493.801624750,cpu5,954124,721,6729,894228,1982,0,595,0
1776518493.801624750,cpu6,975278,479,6702,873238,1928,0,595,0
