timestamp,cpu_idx,processed,dropped,time_squeeze
1776518489.767853228,0,0x00b6be36,0x00000000,0x00000000
1776518489.767853228,1,0x00a9c3eb,0x00000000,0x00000000
1776518489.767853228,2,0x005f3d1f,0x00000000,0x00000000
1776518489.767853228,3,0x008cc692,0x00000000,0x00000000
1776518489.767853228,4,0x003b3c48,0x00000000,0x00000000
1776518489.767853228,5,0x0040436e,0x00000000,0x00000000
1776518489.767853228,6,0x003a2252,0x00000000,0x00000000
1776518489.767853228,7,0x004d9186,0x00000000,0x00000000
1776518489.767853228,8,0x0188d25b,0x00000000,0x00000000
1776518489.767853228,9,0x01e651fb,0x00000000,0x00000000
1776518489.767853228,10,0x0147a201,0x00000000,0x00000000
1776518489.767853228,11,0x015e8903,0x00000000,0x00000000
1776518489.767853228,12,0x00e5aa2f,0x00000000,0x00000000
1776518489.767853228,13,0x008ae9c3,0x00000000,0x00000000
1776518489.767853228,14,0x0085a3ba,0x00000000,0x00000000
1776518489.767853228,15,0x0087de01,0x00000000,0x00000000
1776518489.767853228,16,0x001eac83,0x00000000,0x00000000
1776518489.767853228,17,0x000d1a0c,0x00000000,0x00000000
1776518489.767853228,18,0x002aed85,0x00000000,0x00000000
1776518489.767853228,19,0x00175280,0x00000000,0x00000000
1776518491.048513391,0,0x00b6be72,0x00000000,0x00000000
1776518491.048513391,1,0x00a9c3eb,0x00000000,0x00000000
1776518491.048513391,2,0x005f3d24,0x00000000,0x00000000
1776518491.048513391,3,0x008cc692,0x00000000,0x00000000
1776518491.048513391,4,0x003b3c60,0x00000000,0x00000000
1776518491.048513391,5,0x00404373,0x00000000,0x00000000
1776518491.048513391,6,0x003a226a,0x00000000,0x00000000
1776518491.048513391,7,0x004d9186,0x00000000,0x00000000
1776518491.048513391,8,0x0188d25b,0x00000000,0x00000000
1776518491.048513391,9,0x01e65207,0x00000000,0x00000000
1776518491.048513391,10,0x0147a231,0x00000000,0x00000000
1776518491.048513391,11,0x015e8980,0x00000000,0x00000000
1776518491.048513391,12,0x00e5aa8d,0x00000000,0x00000000
1776518491.048513391,13,0x008ae9c3,0x00000000,0x00000000
1776518491.048513391,14,0x0085a3c0,0x00000000,0x00000000
1776518491.048513391,15,0x0087de01,0x00000000,0x00000000
1776518491.048513391,16,0x001eac83,0x00000000,0x00000000
1776518491.048513391,17,0x000d1a22,0x00000000,0x00000000
1776518491.048513391,18,0x002aed87,0x00000000,0x00000000
1776518491.048513391,19,0x00175280,0x00000000,0x00000000
1776518492.260034813,0,0x00b6bf0b,0x00000000,0x00000000
1776518492.260034813,1,0x00a9c408,0x00000000,0x00000000
1776518492.260034813,2,0x005f3d2e,0x00000000,0x00000000
1776518492.260034813,3,0x008cc692,0x00000000,0x00000000
1776518492.260034813,4,0x003b3c60,0x00000000,0x00000000
1776518492.260034813,5,0x00404379,0x00000000,0x00000000
1776518492.260034813,6,0x003a2285,0x00000000,0x00000000
1776518492.260034813,7,0x004d9186,0x00000000,0x00000000
1776518492.260034813,8,0x0188d25b,0x00000000,0x00000000
1776518492.260034813,9,0x01e65207,0x00000000,0x00000000
1776518492.260034813,10,0x0147a390,0x00000000,0x00000000
1776518492.260034813,11,0x015e8a02,0x00000000,0x00000000
1776518492.260034813,12,0x00e5ad87,0x00000000,0x00000000
1776518492.260034813,13,0x008c165d,0x00000000,0x00000000
1776518492.260034813,14,0x0085a3ca,0x00000000,0x00000000
1776518492.260034813,15,0x0087de01,0x00000000,0x00000000
1776518492.260034813,16,0x001eac83,0x00000000,0x00000000
1776518492.260034813,17,0x000d1a3a,0x00000000,0x00000000
1776518492.260034813,18,0x002aed8f,0x00000000,0x00000000
1776518492.260034813,19,0x00175280,0x00000000,0x00000000
1776518493.504535250,0,0x00b6bf54,0x00000000,0x00000000
1776518493.504535250,1,0x00a9c438,0x00000000,0x00000000
1776518493.504535250,2,0x005f3d4a,0x00000000,0x00000000
1776518493.504535250,3,0x008cc692,0x00000000,0x00000000
1776518493.504535250,4,0x003b3c60,0x00000000,0x00000000
1776518493.504535250,5,0x00404381,0x00000000,0x00000000
1776518493.504535250,6,0x003a22b2,0x00000000,0x00000000
1776518493.504535250,7,0x00521707,0x00000000,0x00000000
1776518493.504535250,8,0x0188d25b,0x00000000,0x00000000
1776518493.504535250,9,0x01e65207,0x00000000,0x00000000
1776518493.504535250,10,0x0147a392,0x00000000,0x00000000
1776518493.504535250,11,0x015e8a96,0x00000000,0x00000000
1776518493.504535250,12,0x00e5fe61,0x00000000,0x00000000
1776518493.504535250,13,0x008c4fdc,0x00000000,0x00000000
