timestamp,retrans_segs,in_segs,out_segs
1776519375.593435664,8883,167559,163155
1776519376.602496610,8883,167621,163217
1776519377.611475179,8883,167670,163265
1776519378.621642229,8883,167722,163313
1776519379.635488692,8883,167759,163348
1776519380.647507006,8883,167799,163385
1776519381.659510039,8883,167844,163433
1776519382.671576857,8883,167903,163492
1776519383.682559379,8883,167952,163541
1776519384.691569732,8883,167988,163573
1776519385.703551084,8883,168040,163623
1776519386.713568355,8883,168109,163691
1776519387.726503291,8883,168163,163743
1776519388.733512680,8883,168298,163875
1776519389.743568640,8883,168364,163940
1776519390.756546329,8883,168433,164005
1776519391.769586480,8883,168481,164051
1776519392.783105185,8883,168526,164093
1776519393.794606782,8883,168564,164130
1776519394.806588887,8883,168604,164170
1776519395.819564957,8883,168656,164222
1776519396.831512883,8883,168720,164284
1776519397.844636941,8883,168806,164363
1776519398.859538589,8883,168866,164419
1776519399.869507631,8883,168918,164471
1776519400.879117675,8883,168976,164526
1776519401.890483535,8883,169013,164563
1776519402.903548038,8883,169053,164602
1776519403.916704621,8883,169099,164649
1776519404.928339747,8883,169152,164703
1776519405.937358086,8883,169265,164808
1776519406.946228124,8883,169308,164851
1776519407.959979884,8883,169364,164907
1776519408.971768656,8884,169415,164957
1776519409.982523187,8886,169470,165006
1776519410.990502786,8886,169509,165046
1776519412.000528168,8886,169549,165087
1776519413.018563259,8886,169601,165138
1776519414.030508829,8886,169655,165190
1776519415.045067546,8886,169698,165231
1776519416.058481125,8886,169735,165269
1776519417.072459460,8886,169776,165310
1776519418.079585651,8886,169837,165368
1776519419.091540193,8886,169938,165475
1776519420.104494068,8886,169974,165512
1776519421.113538260,8887,170034,165572
1776519422.124515069,8887,170083,165618
1776519423.139562851,8887,170141,165677
1776519424.151581712,8887,170180,165714
1776519425.163544521,8887,170222,165757
1776519426.177848527,8887,170269,165801
1776519427.186507031,8887,170318,165849
1776519428.198446675,8887,170378,165908
1776519429.208588973,8887,170418,165949
1776519430.219539160,8887,170482,166006
1776519431.231613646,8887,170537,166057
1776519432.247518878,8887,170587,166105
1776519433.258272147,8887,170637,166156
1776519434.267605181,8887,170677,166195
1776519435.276647289,8887,170724,166240
1776519436.289508910,8887,170775,166289
1776519437.303073908,8887,170820,166332
1776519438.315647664,8887,170882,166391
1776519439.328556609,8887,170936,166445
1776519440.342493629,8887,170996,166502
1776519441.353517227,8887,171031,166535
1776519442.366542337,8887,171072,166576
1776519443.379528772,8887,171126,166628
1776519444.386508993,8887,171172,166673
1776519445.404612170,8887,171228,166727
1776519446.416618670,8887,171291,166788
1776519447.436546623,8887,171335,166829
1776519448.449532384,8887,171435,166930
1776519449.459500903,8887,171568,167070
1776519450.470567094,8887,171628,167128
